0none/1none,0
0none/2none,0
0none/3none,0
0none/4none,0
0none/5none,0
0none/6none,0
0none/7none,0
0none/8none,0
0none/9none,0
0none/10none,0
0none/11none,0
0none/12none,0
0none/13none,0
0none/14none,0
0none/15none,0
0none/16none,0
0none/17none,0
0none/18none,0
0none/19none,0
0none/20none,0
0none/21none,0
0none/22none,0
0none/23none,0
0none/24none,0
0none/25none,0
0none/26none,0
0none/27none,0
0none/28none,0
0none/29none,0
0none/30none,0
0none/31none,0
0none/32none,0
0none/33none,0
0none/34none,0
0none/35none,0
0none/36none,0
0none/37none,0
0none/38none,0
0none/39none,0
0none/40none,0
0none/41none,0
0none/42none,0
0none/43none,0
0none/44none,0
0none/45none,0
0none/46none,0
0none/47none,0
0none/48none,0
0none/49none,0
0none/50none,0
0none/51none,0
0none/52none,0
0none/53none,0
0none/54none,0
0none/55none,0
0none/56none,0
0none/57none,0
0none/58none,0
0none/59none,0
0none/60none,0
0none/61none,0
0none/62none,0
0none/63none,0
0none/64none,0
0none/65none,0
0none/66none,0
0none/67none,0
0none/68none,0
0none/69none,0
0none/70none,0
0none/71none,0
0none/72none,0
0none/73none,0
0none/74none,0
0none/75none,0
0none/76none,0
0none/77none,0
0none/78none,0
0none/79none,0
0none/80none,0
0none/81none,0
0none/82none,0
0none/83none,0
0none/84none,0
0none/85none,0
0none/86none,0
0none/87none,0
0none/88none,0
0none/89none,0
0none/90none,0
0none/91none,0
0none/92none,0
0none/93none,0
0none/94none,0
0none/95none,0
0none/96none,0
0none/97none,0
0none/98none,0
0none/99none,0
0none/100none,0
0none/101none,0
0none/102none,0
0none/103none,0
0none/104none,0
0none/105none,0
0none/106none,0
0none/107none,0
0none/108none,0
0none/109none,0
0none/110none,0
0none/111none,0
0none/112none,0
0none/113none,0
0none/114none,0
0none/115none,0
0none/116none,0
0none/117none,0
0none/118none,0
0none/119none,0
0none/120none,0
0none/121none,0
0none/122none,0
0none/123none,0
0none/124none,0
0none/125none,0
0none/126none,0
0none/127none,0
0none/128none,0
0none/129none,0
0none/130none,0
0none/131none,0
0none/132none,0
0none/133none,0
0none/134none,0
0none/135none,0
0none/136none,0
0none/137none,0
0none/138none,0
0none/139none,0
0none/140none,0
0none/141none,0
0none/142none,0
0none/143none,0
0none/144none,0
0none/145none,0
0none/146none,0
0none/147none,0
0none/148none,0
0none/149none,0
0none/150none,0
0none/151none,0
0none/152none,0
0none/153none,0
0none/154none,0
0none/155none,0
0none/156none,0
0none/157none,0
0none/158none,0
0none/159none,0
0none/160none,0
0none/161none,0
0none/162none,0
0none/163none,0
0none/164none,0
0none/165none,0
0none/166none,0
0none/167none,0
0none/168none,0
0none/169none,0
0none/170none,0
0none/171none,0
0none/172none,0
0none/173none,0
0none/174none,0
0none/175none,0
0none/176none,0
0none/177none,0
0none/178none,0
0none/179none,0
0none/180none,0
0none/181none,0
0none/182none,0
0none/183none,0
0none/184none,0
0none/185none,0
0none/186none,0
0none/187none,0
0none/188none,0
0none/189none,0
0none/190none,0
0none/191none,0
0none/192none,0
0none/193none,0
0none/194none,0
